0,zero,0,zero,0,2
1,one,1,one,1,1
2,two,2,two,2,1
3,three,3,three,3,1
4,four,4,four,4,1
5,five,5,five,5,1
6,six,6,six,6,1
7,seven,7,seven,7,2
8,eight,8,eight,8,1
9,nine,9,nine,9,1
10,ten,10,ten,10,1
11,eleven,11,ten plus one,10 + 1,3
12,twelve,12,twelve,12,1
13,thirteen,13,thirteen,13,2
14,fourteen,14,fourteen,14,2
15,fifteen,15,fifteen,15,2
16,sixteen,16,four squared,4 ²,2
17,seventeen,17,twelve plus five,12 + 5,3
18,eighteen,18,eighteen,18,2
19,nineteen,19,nineteen,19,2
20,twenty,20,twenty,20,2
21,twenty-one,21,twelve plus nine,12 + 9,3
22,twenty-two,22,twelve plus ten,12 + 10,3
23,twenty-three,23,twenty-three,23,3
24,twenty-four,24,six cubed ninths,6 ³ / 9,3
25,five squared,5 ²,five squared,5 ²,2
26,twenty-six,26,twenty-six,26,3
27,three cubed,3 ³,three cubed,3 ³,2
28,twenty-eight,28,twenty-eight,28,3
29,twenty-nine,29,twenty-nine,29,3
30,thirty,30,thirty,30,2
31,thirty-one,31,thirty-one,31,3
32,thirty-two,32,four cubed halves,4 ³ / 2,3
33,thirty-three,33,thirty-three,33,3
34,thirty-four,34,thirty-four,34,3
35,thirty-five,35,thirty-five,35,3
36,six squared,6 ²,six squared,6 ²,2
37,thirty-seven,37,six squared plus one,6 ² + 1,4
38,thirty-eight,38,thirty-eight,38,3
39,thirty-nine,39,thirty-nine,39,3
40,forty,40,forty,40,2
41,forty-one,41,forty-one,41,3
42,forty-two,42,forty-two,42,3
43,forty-three,43,forty-three,43,3
44,forty-four,44,forty-four,44,3
45,forty-five,45,ninety halves,90 / 2,3
46,forty-six,46,forty-six,46,3
47,forty-seven,47,ninety-four halves,94 / 2,4
48,forty-eight,48,twelve squared thirds,12 ² / 3,3
49,forty-nine,49,seven squared,7 ²,3
50,fifty,50,fifty,50,2
51,fifty-one,51,fifty-one,51,3
52,fifty-two,52,fifty-two,52,3
53,fifty-three,53,fifty-three,53,3
54,fifty-four,54,six cubed fourths,6 ³ / 4,3
55,fifty-five,55,fifty-five,55,3
56,fifty-six,56,fifty-six,56,3
57,fifty-seven,57,three times nineteen,3 * 19,4
58,fifty-eight,58,fifty-eight,58,3
59,fifty-nine,59,fifty-nine,59,3
60,sixty,60,sixty,60,2
61,sixty-one,61,sixty-one,61,3
62,sixty-two,62,sixty-two,62,3
63,sixty-three,63,sixty-three,63,3
64,eight squared,8 ²,four cubed,4 ³,2
65,sixty-five,65,sixty-five,65,3
66,sixty-six,66,sixty-six,66,3
67,sixty-seven,67,four cubed plus three,4 ³ + 3,4
68,sixty-eight,68,sixty-eight,68,3
69,sixty-nine,69,sixty-nine,69,3
70,seventy,70,seventy,70,3
71,seventy-one,71,seventy-one,71,4
72,six times twelve,6 * 12,six cubed thirds,6 ³ / 3,3
73,seventy-three,73,four cubed plus nine,4 ³ + 9,4
74,seventy-four,74,four cubed plus ten,4 ³ + 10,4
75,seventy-five,75,thirty squared twelfths,30 ² / 12,4
76,seventy-six,76,four times nineteen,4 * 19,4
77,seventy-seven,77,three hundred eight fourths,308 / 4,5
78,seventy-eight,78,six times thirteen,6 * 13,4
79,seventy-nine,79,seventy-nine,79,4
80,eighty,80,eighty,80,2
81,nine squared,9 ²,nine squared,9 ²,2
82,eighty-two,82,eighty-two,82,3
83,eighty-three,83,eighty-three,83,3
84,eighty-four,84,eighty-four,84,3
85,eighty-five,85,eighty-five,85,3
86,eighty-six,86,eighty-six,86,3
87,eighty-seven,87,nine squared plus six,9 ² + 6,4
88,eighty-eight,88,eighty-eight,88,3
89,eighty-nine,89,eighty-nine,89,3
90,ninety,90,ninety,90,2
91,ninety-one,91,ninety-one,91,3
92,ninety-two,92,ninety-two,92,3
93,ninety-three,93,ninety-three,93,3
94,ninety-four,94,ninety-four,94,3
95,ninety-five,95,ninety-five,95,3
96,ninety-six,96,eight times twelve,8 * 12,3
97,ninety-seven,97,ninety-seven,97,4
98,ninety-eight,98,ninety-eight,98,3
99,ninety-nine,99,ninety-nine,99,3
100,ten squared,10 ²,ten squared,10 ²,2
101,one hundred one,101,ten squared plus one,10 ² + 1,4
102,one hundred two,102,ten squared plus two,10 ² + 2,4
103,one hundred three,103,ten squared plus three,10 ² + 3,4
104,one hundred four,104,eight times thirteen,8 * 13,4
105,one hundred five,105,ten squared plus five,10 ² + 5,4
106,one hundred six,106,ten squared plus six,10 ² + 6,4
107,one hundred seven,107,ninety-nine plus eight,99 + 8,5
108,nine times twelve,9 * 12,six cubed halves,6 ³ / 2,3
109,one hundred nine,109,ten squared plus nine,10 ² + 9,4
110,one hundred ten,110,ten squared plus ten,10 ² + 10,4
